wave,start_date,end_date,mid_date,days_since_epoch,epoch
1,2014-02-20,2014-03-09,2014-02-28,59,2014-01-01
2,2014-05-22,2014-06-25,2014-06-08,158,
3,2014-09-19,2014-10-17,2014-10-03,275,
4,2015-03-04,2015-03-30,2015-03-17,440,
5,2015-03-31,2015-05-06,2015-04-18,472,
6,2015-05-08,2015-05-26,2015-05-17,501,
7,2016-04-14,2016-05-04,2016-04-24,844,
8,2016-05-06,2016-06-22,2016-05-29,880,
9,2016-06-24,2016-07-04,2016-06-29,910,
10,2016-11-24,2016-12-12,2016-12-03,1067,
11,2017-04-24,2017-05-03,2017-04-28,1214,
12,2017-05-05,2017-06-07,2017-05-21,1237,
13,2017-06-09,2017-06-23,2017-06-16,1262,
14,2018-05-04,2018-05-21,2018-05-12,1593,
15,2019-03-11,2019-03-29,2019-03-20,1904,
16,2019-05-24,2019-06-18,2019-06-05,1982,